,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
66,"Ormslevvej 464, Ormslev",Villa,3695000,1850,D,2923,46 dage,Viby J,3,186.0,DKK,"0,00",19866.0,3500000-4000000
67,Lønstrupvej 10,Villa,4995000,1961,E,5071,46 dage,Egå,3,166.0,DKK,"0,00",30090.0,4000000<
68,Adelvej 8,Villa,8495000,1984,B,5301,47 dage,Risskov,3,160.0,DKK,"-5,00",53094.0,4000000<
69,"Frederiksplads 16, 2. Dør/lejl. 8",Ejerlejlighed,4595000,2017,A2015,4039,47 dage,Aarhus C,3,89.0,DKK,"0,00",51629.0,4000000<
70,Under Rønnene 32,Fritidshus,3198000,1981,N/A,2889,48 dage,Egå,3,77.0,DKK,"-9,00",41532.0,3000000-3500000
71,Engdalsvej 87G,Rækkehus,2998000,1989,C,2248,49 dage,Brabrand,2,81.0,DKK,"0,00",37012.0,2500000-3000000
72,Strandhusvej 49,Villa,18500000,2005,B,10878,49 dage,Egå,5,212.0,DKK,"0,00",87264.0,4000000<
73,"Mønsgade 8B, st. tv",Ejerlejlighed,3048000,1917,B,2831,49 dage,Aarhus C,1,63.0,DKK,"0,00",48381.0,3000000-3500000
74,"Strandvejen 18, 1.",Andelsbolig,1506016,1895,C,4669,49 dage,Aarhus C,3,85.0,DKK,"0,00",17718.0,1500000-2000000
75,Rouloen 30,Villa,11998000,1970,C,7110,49 dage,Egå,3,224.0,DKK,"0,00",53562.0,4000000<
76,Tingskovvej 70,Villa,2499000,1911,D,2466,53 dage,Tranbjerg J,3,142.0,DKK,"0,00",17599.0,2000000-2500000
77,"Skovvejen 9, 1. th",Ejerlejlighed,5498000,1937,D,5347,53 dage,Aarhus C,4,116.0,DKK,"0,00",47397.0,4000000<
78,"Balskildevej 33, Ask",Villa,2299000,1962,C,2067,53 dage,Malling,4,175.0,DKK,"0,00",13137.0,2000000-2500000
79,Skivholmevej 27,Landejendom,5998000,1960,D,3392,53 dage,Sabro,4,185.0,DKK,"0,00",32422.0,4000000<
80,"Slotslyngen 7, 3. tv",Ejerlejlighed,2245000,1955,D,2852,54 dage,Aarhus V,3,77.0,DKK,"0,00",29156.0,2000000-2500000
81,Skådehøjen 4,Rækkehus,4695000,2001,C,4574,54 dage,Højbjerg,3,124.0,DKK,"0,00",37863.0,4000000<
82,"Molsgade 5, st.",Ejerlejlighed,2750000,1900,D,2865,54 dage,Aarhus C,3,75.0,DKK,"-5,00",36667.0,2500000-3000000
83,Haldsøvej 32,Villa,4995000,1990,B,4050,54 dage,Risskov,6,213.0,DKK,"-5,00",23451.0,4000000<
84,Lundgårdsvej 44,Rækkehus,2725000,1964,E,2800,54 dage,Højbjerg,2,84.0,DKK,"0,00",32440.0,2500000-3000000
85,J. Skjoldborgs Vej 12,Villa,5998000,1928,D,3912,55 dage,Åbyhøj,3,119.0,DKK,"0,00",50403.0,4000000<
86,Bygmarken 6,Villa,2995000,1968,D,3479,55 dage,Lystrup,3,167.0,DKK,"0,00",17934.0,2500000-3000000
87,"Lomvievej 5, Studstrup",Villa,3595000,1971,D,3032,55 dage,Skødstrup,3,142.0,DKK,"0,00",25317.0,3500000-4000000
88,Skæring Hedevej 168,Villa,4299000,1976,C,3844,56 dage,Egå,5,240.0,DKK,"0,00",17912.0,4000000<
89,Jegstrupvænget 690,Villa,3995000,1976,C,3329,56 dage,Tranbjerg J,4,173.0,DKK,"0,00",23092.0,3500000-4000000
90,"Brobjerg Parkvej 99, st. tv",Ejerlejlighed,3148000,1977,D,3944,59 dage,Egå,2,91.0,DKK,"0,00",34593.0,3000000-3500000
91,Grøndalsvej 238,Rækkehus,2995000,1977,C,2745,60 dage,Viby J,4,151.0,DKK,"-3,00",19834.0,2500000-3000000
92,Rugmarken 15,Villa,3495000,1974,D,3239,60 dage,Lystrup,3,144.0,DKK,"0,00",24271.0,3000000-3500000
93,Østre Havevej 43,Rækkehus,1995000,1961,C,2308,60 dage,Lystrup,1,95.0,DKK,"0,00",21000.0,1500000-2000000
94,Frederiksholmsvej 15,Rækkehus,4495000,1947,C,3112,60 dage,Viby J,4,124.0,DKK,"0,00",36250.0,4000000<
95,Nymarks Allé 238B Dør/lejl. 20,Ejerlejlighed,2199000,2009,B,1540,61 dage,Mårslet,3,99.0,DKK,"0,00",22212.0,2000000-2500000
96,"Brobjerg Parkvej 97, 1. mf",Ejerlejlighed,2599000,1977,D,3675,67 dage,Egå,2,91.0,DKK,"-4,00",28560.0,2500000-3000000
97,"Rosendalvej 38, Stavtrup",Villa,4195000,1975,E,3677,67 dage,Viby J,4,160.0,DKK,"0,00",26219.0,4000000<
98,"Rundhøj Allé 113, 1. th",Ejerlejlighed,1595000,1969,C,3032,70 dage,Højbjerg,3,94.0,DKK,"0,00",16968.0,1500000-2000000
99,Casper Møllers Vej 30,Villa,17500000,1910,C,8853,70 dage,Risskov,3,180.0,DKK,"0,00",97222.0,4000000<
100,Koltvej 40,Villa,4295000,1931,C,2276,70 dage,Hasselager,3,146.0,DKK,"-2,00",29418.0,4000000<
101,Hybenhaven 2,Villa,5298000,2011,A2010,3508,74 dage,Lystrup,4,165.0,DKK,"0,00",32109.0,4000000<
102,"Sjællandsgade 5, 2.",Ejerlejlighed,2295000,1877,C,2183,75 dage,Aarhus C,3,60.0,DKK,"0,00",38250.0,2000000-2500000
103,"Koldkilde 95, Elev",Rækkehus,3295000,2014,A2015,2289,75 dage,Lystrup,4,152.0,DKK,"0,00",21678.0,3000000-3500000
104,"Kalmargade 16A, Christiansbjerg",Rækkehus,5295000,2022,A2015,3416,76 dage,Aarhus N,3,122.0,DKK,"0,00",43402.0,4000000<
105,Østerbyvej 1B,Helårsgrund,2295000,N/A,N/A,448,78 dage,Tranbjerg J,,,DKK,"0,00",,2000000-2500000
106,Østerbyvej 1A,Helårsgrund,2295000,N/A,N/A,454,78 dage,Tranbjerg J,,,DKK,"-0,00",,2000000-2500000
107,Østerbyvej 1C,Helårsgrund,2295000,N/A,N/A,537,78 dage,Tranbjerg J,,,DKK,"0,00",,2000000-2500000
108,"Kaj Munks Vej 66, st. th Dør/lejl. 24",Ejerlejlighed,1495000,1956,C,2133,81 dage,Viby J,2,58.0,DKK,"0,00",25776.0,1000000-1500000
109,Agertoften 6,Villa,2845000,1969,D,2308,82 dage,Malling,3,132.0,DKK,"0,00",21553.0,2500000-3000000
110,Gyvelmarksvej 6,Villa,17498000,1972,D,6912,83 dage,Risskov,5,261.0,DKK,"0,00",67042.0,4000000<
111,"Skanderborgvej 94, 2. Dør/lejl. 1",Ejerlejlighed,1875000,1943,C,2204,83 dage,Aarhus C,2,54.0,DKK,"-1,00",34722.0,1500000-2000000
112,Vestre Skovvej 30,Rækkehus,8198000,2023,A2015,5939,83 dage,Risskov,4,133.0,DKK,"0,00",61639.0,4000000<
113,"Mejlgade 78C, 4.",Ejerlejlighed,2699000,1939,B,2337,84 dage,Aarhus C,2,51.0,DKK,"0,00",52922.0,2500000-3000000
114,"Ladegårdsbakken 14, Spørring",Villa,2195000,1966,D,2326,84 dage,Trige,3,126.0,DKK,"0,00",17421.0,2000000-2500000
115,"Bergensgade 18, Christiansbjerg",Villa,6500000,1926,C,4095,85 dage,Aarhus N,4,154.0,DKK,"0,00",42208.0,4000000<
116,"Kalmargade 16B, Christiansbjerg",Rækkehus,4998000,2022,A2015,3418,88 dage,Aarhus N,3,122.0,DKK,"0,00",40967.0,4000000<
